title,url,category,cooking_time,portion,ingredients,steps,calories,protein,carbs,fat,image_url
Tumis Tahu Kecombrang ala SAORI,https://www.dapurumami.com/resep/tumis-tahu-kecombrang-ala-saori,Aneka Resep,0,4,"TIPS
Goreng tahu hingga setengah matang. Lalu angkat dan sisihkan.
Potong kecombrang
bawang putih
bawang merah
cabai merah besar
cabai rawit merah
dan daun bawang
lalu sisihkan.
Tumis bawang merah
bawang putih
dan kecombrang hingga harum.
Masukkan tahu
cabai merah besar
cabai rawit merah
SAORI Saus Tiram
AJINOMOTO Terasi Udang
air
dan daun bawang.
Masak semua bahan hingga matang
aromanya harum
dan bumbunya meresap.
Sajikan.","1. Goreng tahu hingga setengah matang. Lalu angkat dan sisihkan.
2. Potong kecombrang, bawang putih, bawang merah, cabai merah besar, cabai rawit merah, dan daun bawang, lalu sisihkan.
3. Tumis bawang merah, bawang putih, dan kecombrang hingga harum.
4. Masukkan tahu, cabai merah besar, cabai rawit merah, SAORI Saus Tiram, AJINOMOTO Terasi Udang, air, dan daun bawang.
5. Masak semua bahan hingga matang, aromanya harum, dan bumbunya meresap.
6. Sajikan.",297.5,22.0,8.3,22.5,https://assets.dapurumami.com/uploads/recipe/tumis-tahu-kecombrang-ala-saori-18cc6b36782812e2c1c5e9f05943f394.jpg
Pillow Potato ala Sajiku,https://www.dapurumami.com/resep/pillow-potato-ala-masako,Aneka Resep,30,2,"TIPS
Kupas dan potong kentang berbentuk kotak
kemudian kukus dalam panci kukusan yang sudah disiapkan.
Tumbuk kentang kukus hingga halus
lalu tambahkan keju cheddar
daun bawang
dan Sajiku Tepung Bumbu Serbaguna. Aduk hingga tercampur rata.
Bentuk memanjang dan potong seukuran 2-3 cm.
Panaskan minyak
lalu goreng kentang hingga berwarna kecokelatan. Angkat dan tiriskan.
Sajikan.","1. Kupas dan potong kentang berbentuk kotak, kemudian kukus dalam panci kukusan yang sudah disiapkan.
2. Tumbuk kentang kukus hingga halus, lalu tambahkan keju cheddar, daun bawang, dan Sajiku Tepung Bumbu Serbaguna. Aduk hingga tercampur rata.
3. Bentuk memanjang dan potong seukuran 2-3 cm.
4. Panaskan minyak, lalu goreng kentang hingga berwarna kecokelatan. Angkat dan tiriskan.
5. Sajikan.",224.5,8.5,29.5,8.5,https://assets.dapurumami.com/uploads/recipe/pillow-potato-1438dafa61248f5115dab6a48db4700d.jpg
Oseng Telur Bawang Terasi ala AJINOMOTO Terasi Udang,https://www.dapurumami.com/resep/oseng-telur-bawang-terasi-ala-ajinomoto-terasi-udang,Aneka Resep,25,2,"TIPS
Terlebih dahulu
belah dua bagian bawang merah dan bawang putih. Iris juga cabai. Setelah itu
pecahkan telur ke dalam mangkuk
kocok hingga rata
lalu sisihkan.
Panaskan minyak
lalu tumis semua bahan yang sudah diiris hingga layu. Tambahkan AJINOMOTO Terasi Udang dan perasan jeruk limo
kemudian aduk hingga tercampur rata.
Tambahkan telur
kemudian orak-arik hingga tercampur rata dengan semua bahan.
Sajikan.","1. Terlebih dahulu, belah dua bagian bawang merah dan bawang putih. Iris juga cabai. Setelah itu, pecahkan telur ke dalam mangkuk, kocok hingga rata, lalu sisihkan.
2. Panaskan minyak, lalu tumis semua bahan yang sudah diiris hingga layu. Tambahkan AJINOMOTO Terasi Udang dan perasan jeruk limo, kemudian aduk hingga tercampur rata.
3. Tambahkan telur, kemudian orak-arik hingga tercampur rata dengan semua bahan.
4. Sajikan.",177.0,9.5,18.5,14.0,https://assets.dapurumami.com/uploads/recipe/oseng-telur-bawang-terasi-ala-ajinomoto-terasi-udang-1e32f04b74e9412a52f09687d3b58c64.jpg
Sate Udang ala Masako,https://www.dapurumami.com/resep/sate-udang-ala-masako,Aneka Resep,30,3,"TIPS
Masukkan udang ke dalam chopper
haluskan.
Tambahkan putih telur
wortel
brokoli
dan Masako Bumbu Kaldu Rasa Jamur. Lalu haluskan hingga tercampur rata.
Tambahkan tepung tapioka
haluskan lagi hingga tercampur rata
masukkan ke dalam piping bag.
Goreng adonan di api sedang hingga mengembang dan matang
angkat lalu tiriskan. Tusuk adonan matang dengan tusuk sate.
Sajikan.","1. Masukkan udang ke dalam chopper, haluskan.
2. Tambahkan putih telur, wortel, brokoli, dan Masako Bumbu Kaldu Rasa Jamur. Lalu haluskan hingga tercampur rata.
3. Tambahkan tepung tapioka, haluskan lagi hingga tercampur rata, masukkan ke dalam piping bag.
4. Goreng adonan di api sedang hingga mengembang dan matang, angkat lalu tiriskan. Tusuk adonan matang dengan tusuk sate.
5. Sajikan.",313.0,20.0,5.0,20.0,https://assets.dapurumami.com/uploads/recipe/sate-udang-ala-masako-9a3e6142a082000c225ae6ba8cb1d34d.jpg
Cheese Roll Sayur ala Masako,https://www.dapurumami.com/resep/cheese-roll-sayur-ala-masako-2,Aneka Resep,0,5,"Panaskan minyak
lalu masukkan jamur dan bayam. Tumis hingga layu
kemudian tambahkan tepung terigu dan aduk hingga tercampur rata.
Tambahkan susu dan Masako Rasa Ayam
lalu aduk hingga adonan menggumpal. Setelah itu
sisihkan.
Siapkan kulit kebab
tambahkan parutan keju mozzarella
lalu isi dengan 1 sdm adonan bayam. Gulung memanjang dan lakukan hingga semua bahan habis.
Panaskan minyak di atas wajan datar. Masak kebab hingga matang dan berwarna kecokelatan di semua sisinya.
Sajikan.","1. Panaskan minyak, lalu masukkan jamur dan bayam. Tumis hingga layu, kemudian tambahkan tepung terigu dan aduk hingga tercampur rata.
2. Tambahkan susu dan Masako Rasa Ayam, lalu aduk hingga adonan menggumpal. Setelah itu, sisihkan.
3. Siapkan kulit kebab, tambahkan parutan keju mozzarella, lalu isi dengan 1 sdm adonan bayam. Gulung memanjang dan lakukan hingga semua bahan habis.
4. Panaskan minyak di atas wajan datar. Masak kebab hingga matang dan berwarna kecokelatan di semua sisinya.
5. Sajikan.",322.0,7.6,24.8,14.2,https://assets.dapurumami.com/uploads/recipe/cheese-roll-sayur-ala-masako-2-cf0d6f08e02dfc903e6d71a4cd5c6a32.jpg
Tongkol Goreng Asam ala Masako,https://www.dapurumami.com/resep/tongkol-goreng-asam-ala-masako,Aneka Resep,30,2,"Bahan Marinasi Ikan
TIPS
Siapkan ikan tongkol dan marinasi dengan perasan jeruk nipis selama 10 menit.
Panaskan minyak dan goreng ikan hingga matang
angkat dan sisihkan.
Panaskan minyak dalam wajan
tumis bawang putih
bawang merah
dan cabai rawit hingga harum. Tambahkan asam jawa
air
gula pasir
dan Masako Light
lalu aduk hingga rata.
Tambahkan ikan tongkol yang sudah digoreng
aduk hingga bumbu meresap.
Sajikan.","1. Siapkan ikan tongkol dan marinasi dengan perasan jeruk nipis selama 10 menit.
2. Panaskan minyak dan goreng ikan hingga matang, angkat dan sisihkan.
3. Panaskan minyak dalam wajan, tumis bawang putih, bawang merah, dan cabai rawit hingga harum. Tambahkan asam jawa, air, gula pasir, dan Masako Light, lalu aduk hingga rata.
4. Tambahkan ikan tongkol yang sudah digoreng, aduk hingga bumbu meresap.
5. Sajikan.",292.5,4.0,18.0,9.0,https://assets.dapurumami.com/uploads/recipe/tongkol-goreng-asam-ala-masako-d8db1a7db781196cd155f823148c3ecf.jpg
Fish and Chips ala Masako,https://www.dapurumami.com/resep/fish-and-chips-ala-masako,Aneka Resep,0,2,"Bahan Marinasi
Marinasi ikan dori dengan air lemon
lada
dan Masako Bumbu Kaldu Rasa Jamur selama satu jam.
Campurkan terigu
baking powder
Masako Bumbu Kaldu Rasa Jamur
dan air soda. Aduk rata.
Celupan ikan dori yang sudah dimarinasi ke dalam adonan tepung.
Goreng ikan dori hingga matang.
Angkat
lalu sajikan dengan kentang goreng dan mayones.","1. Marinasi ikan dori dengan air lemon, lada, dan Masako Bumbu Kaldu Rasa Jamur selama satu jam.
2. Campurkan terigu, baking powder, Masako Bumbu Kaldu Rasa Jamur, dan air soda. Aduk rata.
3. Celupan ikan dori yang sudah dimarinasi ke dalam adonan tepung.
4. Goreng ikan dori hingga matang.
5. Angkat, lalu sajikan dengan kentang goreng dan mayones.",493.0,23.0,70.0,13.0,https://assets.dapurumami.com/uploads/recipe/fish-and-chips-ala-masako-a507e75471226a97d5f801d2e125eeae.webp
Nasi Goreng Kunyit ala Sajiku,https://www.dapurumami.com/resep/nasi-goreng-kunyit-ala-sajiku,Aneka Resep,0,2,"Uleg kunyit hingga halus.
Panaskan minyak dalam wajan
tumis telur dan ayam hingga harum dan matang.
Masukkan potongan wortel
kunyit
dan sawi. Aduk rata hingga layu.
Masukkan nasi putih dan Sajiku Nasi Goreng Spesial.
Masak dengan api besar hingga seluruhnya tercampur rata.
Sajikan.","1. Uleg kunyit hingga halus.
2. Panaskan minyak dalam wajan, tumis telur dan ayam hingga harum dan matang.
3. Masukkan potongan wortel, kunyit, dan sawi. Aduk rata hingga layu.
4. Masukkan nasi putih dan Sajiku Nasi Goreng Spesial.
5. Masak dengan api besar hingga seluruhnya tercampur rata.
6. Sajikan.",952.0,44.5,79.0,49.5,https://assets.dapurumami.com/uploads/recipe/nasi-goreng-kunyit-ala-sajiku-6594ae425c419797384121ade3cf030d.webp
Kailan Tumis Krispi ala AJI-NO-MOTO,https://www.dapurumami.com/resep/kailan-tumis-krispi-ala-aji-no-moto,Aneka Resep,30,2,"Bahan Kailan Tumis
Bahan Cabai Garam
Bahan Kailan Goreng
Rebus batang kailan yang sudah dipisahkan dari daunnya
lalu tiriskan.
Tumis bawang putih hingga harum
lalu masukkan batang kailan
AJI-NO-MOTO
air
dan lada putih. Masak hingga matang
kemudian sisihkan.
Panaskan minyak
tumis bawang putih dan cabai hingga harum. Tambahkan garam
masak hingga matang
lalu sisihkan.
Goreng daun kailan selama 10 menit denga api besar. Lalu tiriskan.
Masukkan ke dalam wadah
lalu tambahkan bahan cabai garam
AJI-NO-MOTO
dan gula. Aduk rata
kemudian sajikan.","1. Rebus batang kailan yang sudah dipisahkan dari daunnya, lalu tiriskan.
2. Tumis bawang putih hingga harum, lalu masukkan batang kailan, AJI-NO-MOTO, air, dan lada putih. Masak hingga matang, kemudian sisihkan.
3. Panaskan minyak, tumis bawang putih dan cabai hingga harum. Tambahkan garam, masak hingga matang, lalu sisihkan.
4. Goreng daun kailan selama 10 menit denga api besar. Lalu tiriskan.
5. Masukkan ke dalam wadah, lalu tambahkan bahan cabai garam, AJI-NO-MOTO, dan gula. Aduk rata, kemudian sajikan.",124.0,8.5,18.0,5.0,https://assets.dapurumami.com/uploads/recipe/kailan-tumis-krispi-ala-aji-no-moto-b14b9518135b1c5f2ec701e0cd0abe7c.jpg
Siomay Ayam Sayur ala Masako,https://www.dapurumami.com/resep/siomay-ayam-sayur-ala-masako,Aneka Resep,35,4,"Tips
Siapkan blender
lalu masukkan paha ayam
putih telur
bawang putih
batang jamur kancing
kulit wortel
dan batang brokoli. Blender semua bahan hingga halus.
Masukkan adonan ke dalam wadah
lalu tambahkan daun bawang
Masako Rasa Ayam
tepung tapioka
dan lada. Aduk hingga rata
kemudian sisihkan.
Siapkan kulit dimsum
lalu masukkan adonan ke dalam kulit dan bentuk menyerupai siomay.
Panaskan kukusan
lalu kukus siomay selama 15–20 menit.
Sajikan.","1. Siapkan blender, lalu masukkan paha ayam, putih telur, bawang putih, batang jamur kancing, kulit wortel, dan batang brokoli. Blender semua bahan hingga halus.
2. Masukkan adonan ke dalam wadah, lalu tambahkan daun bawang, Masako Rasa Ayam, tepung tapioka, dan lada. Aduk hingga rata, kemudian sisihkan.
3. Siapkan kulit dimsum, lalu masukkan adonan ke dalam kulit dan bentuk menyerupai siomay.
4. Panaskan kukusan, lalu kukus siomay selama 15–20 menit.
5. Sajikan.",360.0,30.8,24.0,17.5,https://assets.dapurumami.com/uploads/recipe/siomay-ayam-sayur-ala-masako-afb9af90e34c69972bc70103bb66ceea.jpg
