nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Salad Wortel,147.3,1.7,21.7,7.3,1.7,https://www.dapurumami.com/resep/salad-wortel-SEHSJ
Tumis Kailan Cah Cumi,225,11,11,11,2,https://www.dapurumami.com/resep/tumis-kailan-cah-cumi-B9DUM
Tumis Kangkung Jamur Merang,192.5,8.5,40,6,2.5,https://www.dapurumami.com/resep/tumis-kangkung-jamur-merang-I1AFN
Teriyaki Ayam,320.5,18.5,5,25,0.5,https://www.dapurumami.com/resep/teriyaki-ayam-hmLkj
Sate Ayam Ala,158,13.5,1.5,10.5,0,https://www.dapurumami.com/resep/sate-ayam-ala-saori-CTvdl
Mie Goreng Jamur Shitake,677,16,15,35,2.5,https://www.dapurumami.com/resep/mie-goreng-jamur-shitake-ztkvU
Nasi Goreng Teri Medan,813,28,128,40,1,https://www.dapurumami.com/resep/nasi-goreng-teri-medan-bNK0L
Kwetiaw Goreng Saus Tiram,1050,43,67,68,1,https://www.dapurumami.com/resep/kwetiaw-goreng-saus-tiram-s60O5
Ikan Bakar Ala Cina,184,17.5,1.5,12,0,https://www.dapurumami.com/resep/ikan-bakar-ala-cina-83O9i
Ayam Goreng Oriental,452,36.5,4.5,30.5,4.5,https://www.dapurumami.com/resep/ayam-goreng-oriental-pk35M
Cap Cay Istimewa,321.5,12,30.5,17,0.5,https://www.dapurumami.com/resep/cap-cay-istimewa-HwEfE
Ayam Bakar Sedap Manis,655,36.5,0,56.5,0,https://www.dapurumami.com/resep/ayam-bakar-sedap-manis-oKbEt
Omelet Udang Saus Teriyaki,283,18.5,6.5,20,0,https://www.dapurumami.com/resep/omelet-udang-saus-teriyaki-O32zf
Tumis Tahu Saus Tauco,411,23.5,20,29,2.5,https://www.dapurumami.com/resep/tumis-tahu-saus-tauco-J72Cn
Teriyaki Sapi,212,13,10,13.5,0,https://www.dapurumami.com/resep/teriyaki-sapi-HCH6K
Bakwan Kakap Oriental,325,27,6.5,22,0,https://www.dapurumami.com/resep/bakwan-kakap-oriental-URGqd
Cumi Pedas Saus Teriyaki,244,27.5,8,12,0,https://www.dapurumami.com/resep/cumi-pedas-saus-teriyaki-uKjk7
Tim Bandeng Kuah Segar,418,51,4.5,22,0,https://www.dapurumami.com/resep/tim-bandeng-kuah-segar-hwrDZ
Ayam Panir Mede Goreng,619,47.5,21.5,33.5,0.5,https://www.dapurumami.com/resep/ayam-panir-mede-goreng-Dx63l
Oseng Tempe Kacang Panjang,437,22,25,30.5,5,https://www.dapurumami.com/resep/oseng-tempe-kacang-panjang-5XjRp
Kakap Goreng Saus Merah,384,23,8,20,0,https://www.dapurumami.com/resep/kakap-goreng-saus-merah-8AMFS
Udang Pedas Saus Tiram,225,25.5,9.5,11,0,https://www.dapurumami.com/resep/udang-pedas-saus-tiram-1wJbF
Pangsit Goreng Renyah,60.6,1.9,3.8,4.2,0,https://www.dapurumami.com/resep/pangsit-goreng-renyah-sZyYG
Soun Asam Pedas,1011,32,107,50,1,https://www.dapurumami.com/resep/soun-asam-pedas-k2Fcv
Iga Goreng Bumbu Sereh,853,46,17.5,65.5,0,https://www.dapurumami.com/resep/iga-goreng-bumbu-sereh-xkale
Zucchini Stuffed Chicken and Cheese,259,24.8,9.8,14,2.3,https://www.dapurumami.com/resep/zucchini-stuffed-chicken-and-cheese-SHPBv
Gyudon,254.3,19.8,12.5,14.3,1.3,https://www.dapurumami.com/resep/gyudon-nOxbi
Aneka Sate Tempura,149.8,16.3,4.8,8,5.5,https://www.dapurumami.com/resep/aneka-sate-tempura-Rx9T7
Ayam Salad Don,857,35,8,39,2,https://www.dapurumami.com/resep/ayam-salad-don-DAD5b
Sop Tomat Patin,221.8,22.8,8,11.3,1.3,https://www.dapurumami.com/resep/sop-tomat-patin-ChiJl
Sate Lilit,177.5,9.8,7.8,12.4,0,https://www.dapurumami.com/resep/sate-lilit-llCfh
Tom Yum Goong,66.4,5.2,1.8,4.2,0,https://www.dapurumami.com/resep/tom-yum-goong-5EQ3k
Chicken Mac and Cheese,631.8,37.5,70.8,21.3,0,https://www.dapurumami.com/resep/chicken-mac-and-cheese-rIe6Y
Brokoli dengan Daging Ayam,379.3,16.3,27.7,27.7,3.3,https://www.dapurumami.com/resep/brokoli-dengan-daging-ayam-0TDg5
Salad Buah ala Mayumi®️,238.5,5,50.5,3.5,2.5,https://www.dapurumami.com/resep/salad-buah-7BU76
Sukiyaki Masak Paprika,217.7,16,7.7,14,0.8,https://www.dapurumami.com/resep/sukiyaki-masak-paprika-ZEkTv
Telur Bebek Saus Kecap,217.7,16.2,7.7,14,1,https://www.dapurumami.com/resep/telur-bebek-saus-kecap-UM29J
Tumis Tuna Tahu,256,27.8,4.3,15,0,https://www.dapurumami.com/resep/tumis-tuna-tahu-WYURh
Tahu Kukus Lapis Somay,42.1,5.2,3.4,1.2,0,https://www.dapurumami.com/resep/tahu-kukus-lapis-somay-rETbr
Sup Krim Labu Kuning,108.8,4.2,12.8,4.5,2.3,https://www.dapurumami.com/resep/sup-krim-labu-kuning-TvOe8
Sup Kaldu Kacang Hijau,941.8,64.7,143,14.7,18.8,https://www.dapurumami.com/resep/sup-kaldu-kacang-hijau-za4UA
Sayuran dan Buah Siram,2311.5,123,90.8,182,11.2,https://www.dapurumami.com/resep/sayuran-dan-buah-siram-oZpu9
Sate Sapi Bumbu Kacang,215.6,13,5.1,13.8,0.2,https://www.dapurumami.com/resep/sate-sapi-bumbu-kacang-BOFyZ
Salad Buah Campur Nugget,110.7,5,19,3.3,0.8,https://www.dapurumami.com/resep/salad-buah-campur-nugget-yEwAU
Sate Kerang,219.1,16,6.4,14.8,0,https://www.dapurumami.com/resep/sate-kerang-qygP1
Omelet Seafood,183.2,15.8,4.8,11.5,0.3,https://www.dapurumami.com/resep/omelet-seafood-ZdvZw
